Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-5-W-darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-5-W-darker.jpg,,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-5-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-5-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-11A-1K-5.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-5.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-6-W-darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-6-W-darker.jpg,,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-6-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-6-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-11A-1K-6.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-6.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.29
NAPALM (Walker),ICD,NAPALM-WALK13-11B-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11B-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-1-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-1-W.jpg,,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-1-W_darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-1-W_darker.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-1A-1K-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
