      8 Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.eax,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.cal.xml,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE cp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac orgs 400Xpp.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac orgs 400Xpp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac orgs 400Xpp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac orgs 400Xpp.tif.eax,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac orgs 400Xpp.tif.cal.xml,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac orgs 400Xpp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac orgs 400Xpp.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/1A-2L-1 5 cm silt frac orgs 400Xpp.jpg,,1.90
      1 3RPD,Exclude,._1A-2L-1 5 cm silt frac orgs 400Xpp.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/._1A-2L-1 5 cm silt frac orgs 400Xpp.jpg,,1.89
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xpp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xpp.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xpp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xpp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xpp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xpp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xpp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xpp.tif.eax,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xpp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xpp.tif.cal.xml,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xpp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xpp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xcp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xcp.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xcp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xcp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xcp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xcp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xcp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xcp.tif.eax,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xcp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xcp.tif.cal.xml,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm silt frac 400Xcp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm silt frac 400Xcp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X pp.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X pp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X pp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X pp.tif.eax,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X pp.tif.cal.xml,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X pp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X pp.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/1A-2L-1 5 cm sand garnet 400X pp.jpg,,1.90
      1 3RPD,Exclude,._1A-2L-1 5 cm sand garnet 400X pp.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/._1A-2L-1 5 cm sand garnet 400X pp.jpg,,1.89
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X cp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X cp.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X cp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X cp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X cp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X cp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X cp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X cp.tif.eax,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X cp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X cp.tif.cal.xml,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm sand garnet 400X cp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm sand garnet 400X cp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm prismatic tourmaline.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/1A-2L-1 5 cm prismatic tourmaline.jpg,,1.90
      1 3RPD,Exclude,._1A-2L-1 5 cm prismatic tourmaline.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/._1A-2L-1 5 cm prismatic tourmaline.jpg,,1.89
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm Fe phases 400X pp.tif,,2.02
      1 3RPD,Exclude,._1A-2L-1 5 cm Fe phases 400X pp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/._1A-2L-1 5 cm Fe phases 400X pp.tif,,1.90
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm Fe phases 400X pp.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm Fe phases 400X pp.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm Fe phases 400X pp.tif.eax,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm Fe phases 400X pp.tif.cal.xml,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm Fe phases 400X pp.tif.anx,,2.02
